subject,accuracy,score_group
3,0.8042331161939004,low
4,0.9614234764094709,high
5,0.9125820922570147,low
6,0.9520805891639222,high
7,0.9157180383160772,low
8,0.9859718984718984,high
9,0.9233681568975683,low
10,0.9604144055532944,high
11,0.9563091383924714,high
12,0.9752415023248354,high
13,0.8184371984439709,low
14,0.8897738283165696,low
15,0.9481134297800962,high
16,0.907325044236809,low
18,0.778067758470572,low
19,0.9595211297417175,high
20,0.93849890396459,high
21,0.903758227409113,low
22,0.9650264459578183,high
23,0.8232399494186772,low
24,0.868514173305195,low
25,0.934331025728084,high
26,0.9948753021669687,high
27,0.7645413139253437,low
28,0.834836883795217,low
29,0.940671543893938,high
30,0.9759319658764961,high
31,0.9293957757928349,low
32,0.8484948802105666,low
33,0.891142239205964,low
35,0.9801101476591672,high
36,0.9772611448101641,high
37,0.8909957299418083,low
38,0.9742168896825758,high
39,0.9824880058213392,high
40,0.8815612927377633,low
41,0.9819865737022601,high
42,0.865416659411757,low
43,0.9839132934966268,high
44,0.9027533389478691,low
45,0.9794028348195015,high
